serial_number,used
18972092F80D,0
DD085A016863,0
83F9950743D1,0
3823EA638DD4,0
E6B616B70E3F,0
BAF621B58F0D,0
40F455CE0F31,0
03398EB47E98,0
57BAE696DC14,0
0BBCA84E0083,0
0222D06B78B2,0
9BFB14144867,0
F95E0B7F1E3D,0
CFBEADE38C2A,0
EF5F511B4B03,0
699750DA4AC9,0
928569FF027B,0
7BE6E34C6C1E,0
2B704DA9D6E3,0
8D0C2AAC84C1,0
D21AF1B63584,0
A62D11A6C935,0
ABE7DE2270DF,0
BB637F2E12A7,0
60D8ED2B7335,0
F7DD857E51C6,0
E2760E3E326A,0
EE6C74DDBAEC,0
D777AD58B7F0,0
807A40337F6D,0
02B75CDC8613,0
CD6158CB4336,0
44E93B2A93CC,0
F1E8053F4614,0
3B7CA917E39C,0
491B74302861,0
94370B32914C,0
53FFB31CE02D,0
922AEE425AA9,0
5FAA156EC37C,0
B1161901B693,0
8838DE28A5FD,0
3FA88E63D761,0
D6915F381D7F,0
0155DA50D095,0
A5C96681E075,0
5C341AE371E7,0
1B2423C6EFB0,0
9790C8BA103F,0
74737E492D9F,0
FE57F173E649,0
0B31713044E2,0
2F28C03519A2,0
22D755464757,0
58C5370C3CD3,0
7959E96021E8,0
CD543F7C5F93,0
8914F0348DA1,0
542DBAAFEDF5,0
EFE1743158F5,0
396F023ECC4F,0
39723A64D1F7,0
28BA877775CC,0
A754E2FE3A76,0
C283079159DF,0
9790FD1440AF,0
AE4883A09ABE,0
DDE1C2089978,0
5C146E87EA6A,0
0E96524B9753,0
B78FE1CACB1A,0
A6CEA8A8E39E,0
BBC5CEB7BDB0,0
FBBE62DE15B3,0
40705F24C3C0,0
4FCCCD7D4814,0
9E3FB13113CB,0
6FA9BCEF8107,0
3CB9DAF9A344,0
DB017FC813F7,0
2EAFCB3BC1EF,0
74D747AE22FC,0
978584B75D50,0
FCEC5E4D429D,0
CA85A3B1547F,0
9F5DC28EFDBC,0
3F45C6882723,0
2F1D2BCFC866,0
993250D3221D,0
CA4C0566D582,0
2356C065509B,0
E3F4E3D89E12,0
DBFC919162D6,0
3FD716B6C30C,0
F7E2ACCF5F17,0
3CF546447628,0
05FB06CCF9E7,0
5C5B0D5CAA62,0
C7028CF265A6,0
ED587BE353EA,0
D4333C82DBD6,0
B28AA5382FFB,0
5556095E1C70,0
E30E23724CD1,0
EA39C9BD51EA,0
96B92921F144,0
F359CBFBEE03,0
59F32A2513EA,0
92FC233B379F,0
3A16570B92D7,0
E8AB78166B31,0
6EDE49507E0C,0
6E3A587C8D11,0
B105913FC9CE,0
022D40C8214F,0
4D5637F0B070,0
1B84D8F713CF,0
3CE5BC651D2B,0
6FC1EA216FD3,0
1701A3328C4D,0
8FCEB5A029C3,0
CC36E6A5FEA3,0
4D5DBE5BB509,0
4F387C753351,0
383D94B3ADBC,0
5D829AE599EE,0
E2B95FCB52B2,0
33B1D2FAC66B,0
FBA346BA938E,0
4936781C4DBA,0
79A3DE880E0F,0
9B4CB5CD2A54,0
86A8EFCF365E,0
6080F3052D1D,0
EC55D31ECC08,0
81EC14FB51BE,0
063CA16420E2,0
0BBAF846FD43,0
B85451E1F804,0
845B7EC2A784,0
B1B93D8779AD,0
08299DCF61BB,0
95AEE26CADCB,0
BEDE4DA21145,0
E0B93E6FD23A,0
B5B116C8F8BE,0
2994D0DCFA84,0
9CC08B1045D2,0
3E2BDBCBF09F,0
24770669353D,0
70F11E74CBA0,0
CD8DADE995EF,0
95C49F20370C,0
3C29F9EC9B84,0
72F0A33F576B,0
773797A1C620,0
E805922EF8DD,0
5FF42AFB668D,0
28A567AD969F,0
C9FEB0257ABA,0
2DC1C8F71689,0
A5C558BE544C,0
8C5533218E0C,0
086323D96A90,0
5DE3FE43D2E9,0
D2FF887C2AC6,0
F361C5AE0937,0
7BCBC7F0677A,0
232A1AFDC634,0
66434B032A53,0
F1387C11D213,0
